alpha,trials,states,all_s_a,visited_s_a,avg_reward,safety,reliability
0.5,200,96,384,324,25.820091086188029,A+,A
0.5,210,95,380,318,21.516750683696042,A+,A+
0.5,220,95,380,333,19.316930471343039,A+,A+
0.5,230,94,376,328,22.154412366067451,A+,A+
0.5,240,96,384,347,22.375020506346736,A+,A+
0.5,250,96,384,340,22.62369641817001,A+,A+
0.5,260,96,384,333,21.778898888530811,C,A+
0.5,270,96,384,344,21.391414622272123,A+,A+
0.5,280,95,380,347,26.312696962428724,A+,A
0.5,290,96,384,348,24.652661617059834,A+,A+
